カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
瀕死 ミリリッカ	ミリリッカ	２０	"\"""	１６３ｃｍ	？？	ゼス雷軍 大隊長	"\"""	ゼスの士官	戦闘指揮中にアレフガルドに拉致され	メディウサのペニスで	内臓を食い破られて絶命した	"\"""	瀕死 ミリリッカ	瀕死 ジャムコ			
瀕死 ジャムコ	ジャムコ	１７	"\"""	１６１ｃｍ	？？	ゼス光軍 中隊長	"\"""	ゼスの士官	メディウサのリクエストに合致した時	すべてを捨てて逃亡を試みたが	かなわぬ望みであった	"\"""	瀕死 ジャムコ	瀕死 ミリリッカ			
熟女 マジック	マジック	５１	"\"""	１６４ｃｍ	？？	ゼス女王	魔法２	ゼス王として動乱の魔王ランス時代を最前線に立ち	乗り越えてきた	国民からの信望は極めて篤いが、リーザスには	いまだに振り回されている	"\"""	熟女 マジック	Lv100 スシヌ			
														熟女 リア			
														Lv400 ランス			
ＹＯＲＡ	ＹＯＲＡ	４	"\"""	１６７ｃｍ	４０ｋｇ	闘神都市 都市長	魔法科学１、政治１	元はカサドの街に住んでいた気の弱い青年	イラーピュが墜落し、闘神都市ができたのち	頭角を現し、都市長となった	ひそかに手に入れた神の肉片を培養し	何かよからぬことを企んでいる様子	ＹＯＲＡ	アレキサンダー			
														１級神 クエルプラン			
ニーナ	ニーナ・ニルヴァーナ	１	"\"""	１５６ｃｍ	？？	村人	"\"""	アリオスの幼馴染	明るく優しい女の子	"\"""	勇者として旅立ったアリオスをずっと心配していた	日々の平穏な暮らしに喜びをかみしめている	ニーナ	村人 テオマン			
アレキサンダー	アレキサンダー	７７	"\"""	２１５ｃｍ	１８０ｋｇ	武術家	格闘２	若き頃よりひたすらに強さを求め	あくなき修行の道を走り続けた男	鬼畜王戦争での凄まじい戦いぶりにより	世界最強の格闘家の称号を得た	"\"""	アレキサンダー	ＹＯＲＡ			
														Lv13 エロピチャ			
														Lv25 バーナード			
シュリ	シュリ・セイハジュウ・ナガサキ	２	"\"""	１６０ｃｍ	？？	闘神大会運営委員	"\"""	闘神大会の名物受付嬢	聞けば対戦相手の情報を教えてくれる親切なお姉さん。	"\"""	勤続年数は不明。これからも。	"\"""	シュリ	ＹＯＲＡ			
														アレキサンダー			
熟女 マリア	マリア・カスタード	４０	２３歳	１６０ｃｍ	？？	冒険者 マリア工場所長	機械２、魔法１	ダークランスの恋人	マリア工場は健在で定期的に	カスタムにも寄っているが	ダークランスの旅が決着をつけるまでは	そばにいることを優先している	熟女 マリア	ＬＶ１８０ ダークランス			
														Lv66 志津香			
大人 メアリー	メアリー・アン	９	２５歳	１４５ｃｍ	？？	シャングリラ市民	料理１、編み物１、貝ハンター１	魔人レイの恋人	レイの立場を考えて、よく珍しい貝を拾ってあげている	"\"""	レイと対等であるため、使徒になることはない	これからも…	大人 メアリー	魔人 レイ			
裸族王 バファムーン	バファムーン	７３	"\"""	１９８ｃｍ	１０８ｋｇ	全裸教教祖	格闘２、神魔法２	元は敬虔なＡＬ教の信徒	神異変により神の恩恵を失った時絶望の闇に飲まれる	しかし彼は、己自身の力で人々を救わんと立ち上がった	"\"""	すなわち、全裸である。	裸族王 バファムーン	使徒 アトランタ			
														使徒 ジュノー			
エロヤック	エロヤックＡＬＶ	なし	"\"""	６００ｍ	？？	コンピューター	"\"""	魔人パイアールによって製作された	巨大コンピューター	"\"""	モニターは端末であり、本体は	ハイパービルと呼ばれる建造物全体	エロヤック	あてな２号			
														パイアールロボ			
船長	船長	２８	"\"""	１８６ｃｍ	９２ｋｇ	船長	航海士２	船の上で生まれ、船の上で育った生粋の船乗り	過去に２度滿ち潮にも挑戦しているベテラン	"\"""	本名は誰も知らない	"\"""	船長	Lv32 ノア			
														Lv27 コパンドン			
Lv28 すず	北条すず	２８	"\"""	１５２ｃｍ	？？	陰陽師	陰陽１	生時の魂の汚染が軽微だった者は	死後の魂の洗浄も簡易的なものになる	"\"""	それゆえ、強く生前の記憶を持つ事も	稀にあるのである	Lv28 すず	"\"""			
ＫＤ	ＫＤ	？？	？？	？？	？？	？？？	ドラゴン３	神出鬼没に表れて、冒険者に意味不明な	クイズを出してくる不思議存在	"\"""	"\"""	"\"""	ＫＤ	全裸 カミーラ			
ジャハルッカス	ジャハルッカス	？？	"\"""	２８０ｃｍ	４２ｋｇ	罪人	"\"""	千年に一人生まれると言われるホルスの変異体。	強い力と殺戮衝動を持ち、ただただ同族を殺し続ける。	"\"""	同族からはデスホルスと呼ばれ恐れられている。	"\"""	ジャハルッカス	ホルス テラ			
														ホルス メガッス			
														ホルス メガワス			
														ホルス メガフォース			
アスタコ	アスタコ	"\"""	"\"""	３．５ｍ	１０ｔ	"\"""	"\"""	アレルギー超大国の技術の粋を結集して作られた	半自律型多脚戦闘からくり	どういう仕組みか、操縦席から口頭で命令を受け取る	"\"""	"\"""	アスタコ	ポピンズ 日立姫			
アリス	アリス	？？	"\"""	？？	？？	看板娘	？？	アリスソフトの看板娘	お供はカラスの諭吉	"\"""	"\"""	※女神ＡＬＩＣＥとは無関係です	アリス	闇アリス			
闇アリス	闇アリス	？？	"\"""	？？	？？	看板娘（闇）	？？	アリスちゃんのお友達	とってもクール	お供は真っ白い論吉	"\"""	"\"""	闇アリス	アリス			
														Lv3 ペルエレ			
肉片 ルート	ルート・アリ	？？	"\"""	１ｍ	５６ｋｇ	"\"""	教育１	魔人パイアールの研究の失敗により	肉の塊と化してしまったルートの肉体	"\"""	生命活動は維持されており	魂は肉にとどまっていた	肉片 ルート	パイアールロボ			
使徒 戯骸	戯骸	５３	"\"""	１８１ｃｍ	７２ｋｇ	使徒	"\"""	「朱雀」の別名を持つ魔人ザビエルの使徒	死んでも新たな肉体を得て転生するフェニックス	早雲の恋人蘭の肉体に封印されていたが	肉体ごと封印を破り復活した	ランスに一目惚れし、愛し合う機会を伺っている	使徒 戯骸	Lv42 ランス			
														Lv28 すず			
														Lv53 北条早雲			
魔女 リクチェル	リクチェル・フォン・ド・コースス	６８	"\"""	１６３ｃｍ	？？	トレジャーハンター	呪術２	魔法使いの間で有名な魔女	寒い夜に現れ、気まぐれに人に呪いをかけていく	"\"""	そして、呪われた人間の人生が破壊されてゆくさまを	遠くから楽し気に眺めている	魔女 リクチェル	Lv63 リセット			
														Lv85 乱義			
魔人 ＤＤ	ＤＤ	７８	"\"""	３０１ｃｍ	６２２ｋｇ	魔人	"\"""	魔王ランスが気まぐれに血を与えた魔人の一人	元種族はパワーゴリラ	"\"""	常にあらゆる痛みにさいなまれており	それを紛らわすため人間を喰らう	魔人 ＤＤ	魔王 ランス			
勇者 ゲイマルク	ゲイマルク	９９	"\"""	１７６ｃｍ	４４ｋｇ	勇者	剣２、槍２、魔法１	魔王ランスを殺すため、人類を虐殺して回った勇者	その凶行は魔王ランスによって止められた	"\"""	神異変によって勇者システムが異変を来たし	生ける屍と化した	勇者 ゲイマルク	４級神 コーラ			
魔人 かわぞえ	魔人かわぞえ	？？？	"\"""	４１０．５ｃｍ	４１０．５ｋｇ	魔人	？？？	通称天空の王。ＡＬ教によって補管されていた	ますぞえの魔血魂を一体のハニーが盗み出した。	彼は、その強靭な精神で、魔人ますぞえの精神を上書きし	新たな魔人として生まれ変わった。	新たな魔人として生まれ変わった（二回目）	魔人 かわぞえ	魔人 ますぞえ			
														ハニ子			
魔人 ますぞえ	魔人ますぞえ	？？？	"\"""	４１０．５ｃｍ	４１０．５ｋｇ	魔人	？？？	奈落の王と呼ばれるハニーの魔人	３００年後に世界を滅ぼすべく	地下の奥底で力を蓄えている。	彼が死んでも、また新たなハニーが	魔人ますぞえとなる。	魔人 ますぞえ	ハニ子			
